num_stars,num_forks,num_open_issues,num_contributors,num_closed_issues,authors_info
3981,881,38,58,1847,
263,33,4,6,37,
2953,118,12,20,337,
182071,33114,311,106,331,
11476,805,159,245,3541,
957,37,8,0,12,
10496,1604,1,31,158,
885,185,0,0,0,
2320,126,0,3,5,
28509,7881,2348,339,36199,
